order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,1,2,15310.0,0.0
2,1,24,1,6663.0,0.0
3,1,18,3,4805.0,0.0
4,1,2,1,8376.0,0.0
5,2,25,1,16800.0,0.0
6,3,7,1,41148.0,0.0
7,3,27,3,5496.0,0.0
8,4,8,2,2040.0,0.0
9,4,5,3,20161.0,0.0
10,5,19,1,12490.0,0.0
11,6,23,1,3059.0,0.0
12,6,9,3,12417.0,0.0
13,6,25,3,16800.0,0.0
14,6,12,3,796.0,0.0
15,7,25,1,16800.0,0.0
16,8,4,2,9276.0,0.0
17,8,19,3,12490.0,0.0
18,8,1,3,15310.0,0.0
19,9,13,3,44400.0,0.0
20,9,23,3,3059.0,0.0
21,9,7,3,41148.0,0.0
22,9,3,1,1523.0,0.0
23,10,23,2,3059.0,0.0
24,11,26,3,2567.0,0.0
25,12,12,3,796.0,0.0
26,13,22,3,5988.0,0.0
27,13,12,2,796.0,0.0
28,13,3,1,1523.0,0.0
29,13,17,2,1855.0,0.0
30,14,4,2,9276.0,0.0
31,14,14,3,21416.0,0.0
32,14,12,1,796.0,0.0
33,14,21,2,40938.0,0.0
34,15,24,3,6663.0,0.0
35,15,17,2,1855.0,0.0
36,16,15,3,39826.0,0.0
37,16,14,2,21416.0,0.0
38,16,27,2,5496.0,0.0
39,16,24,1,6663.0,0.0
40,17,9,2,12417.0,0.0
41,18,25,3,16800.0,0.0
42,18,15,3,39826.0,0.0
43,19,11,2,21181.0,0.0
44,19,1,1,15310.0,0.0
45,19,16,2,32380.0,0.0
46,19,28,1,6972.0,0.0
47,20,26,2,2567.0,0.0
48,20,9,3,12417.0,0.0
49,20,11,3,21181.0,0.0
50,21,18,1,4805.0,0.0
51,21,1,1,15310.0,0.0
52,21,17,1,1855.0,0.0
53,22,16,3,32380.0,0.0
54,22,18,2,4805.0,0.0
55,22,25,3,16800.0,0.0
56,22,8,3,2040.0,0.0
57,23,15,2,39826.0,0.0
58,23,26,1,2567.0,0.0
59,23,1,2,15310.0,0.0
60,23,3,3,1523.0,0.0
61,24,10,3,1955.0,0.0
62,24,22,2,5988.0,0.0
63,25,18,3,4805.0,0.0
64,25,17,3,1855.0,0.0
65,25,12,2,796.0,0.0
66,25,14,2,21416.0,0.0
67,26,9,3,12417.0,0.0
68,26,10,1,1955.0,0.0
69,26,8,2,2040.0,0.0
70,26,4,1,9276.0,0.0
71,27,7,2,41148.0,0.0
72,27,24,2,6663.0,0.0
73,28,4,2,9276.0,0.0
74,28,27,1,5496.0,0.0
75,28,7,2,41148.0,0.0
76,29,10,3,1955.0,0.0
77,29,1,3,15310.0,0.0
78,30,9,1,12417.0,0.0
79,30,2,3,8376.0,0.0
80,31,23,2,3059.0,0.0
81,31,5,1,20161.0,0.0
82,31,21,1,40938.0,0.0
83,32,16,1,32380.0,0.0
84,32,15,1,39826.0,0.0
85,32,11,2,21181.0,0.0
86,33,4,2,9276.0,0.0
87,33,27,1,5496.0,0.0
88,33,3,3,1523.0,0.0
89,33,13,3,44400.0,0.0
90,34,5,1,20161.0,0.0
91,35,3,3,1523.0,0.0
92,35,8,2,2040.0,0.0
93,35,4,3,9276.0,0.0
94,36,25,2,16800.0,0.0
95,36,17,2,1855.0,0.0
96,37,10,2,1955.0,0.0
97,37,28,3,6972.0,0.0
98,37,19,3,12490.0,0.0
99,37,14,1,21416.0,0.0
100,38,25,1,16800.0,0.0
101,39,9,1,12417.0,0.0
102,39,22,1,5988.0,0.0
103,40,6,1,4703.0,0.0
104,40,18,1,4805.0,0.0
105,41,14,2,21416.0,0.0
106,42,10,2,1955.0,0.0
107,42,2,3,8376.0,0.0
108,42,8,2,2040.0,0.0
109,42,23,1,3059.0,0.0
110,43,30,3,3287.0,0.0
111,43,9,3,12417.0,0.0
112,44,14,3,21416.0,0.0
113,44,4,1,9276.0,0.0
114,45,30,1,3287.0,0.0
115,45,9,1,12417.0,0.0
116,46,6,2,4703.0,0.0
117,47,15,2,39826.0,0.0
118,47,4,3,9276.0,0.0
119,47,23,2,3059.0,0.0
120,48,17,2,1855.0,0.0
121,48,18,1,4805.0,0.0
122,48,16,3,32380.0,0.0
123,49,29,2,10361.0,0.0
124,50,20,1,5170.0,0.0
125,50,9,1,12417.0,0.0
126,50,1,3,15310.0,0.0
127,51,25,3,16800.0,0.0
128,52,19,1,12490.0,0.0
129,52,2,2,8376.0,0.0
130,52,25,3,16800.0,0.0
131,53,30,2,3287.0,0.0
132,53,9,3,12417.0,0.0
133,53,6,2,4703.0,0.0
134,53,19,1,12490.0,0.0
135,54,12,1,796.0,0.0
136,54,14,1,21416.0,0.0
137,54,11,2,21181.0,0.0
138,54,22,2,5988.0,0.0
139,55,10,3,1955.0,0.0
140,55,22,1,5988.0,0.0
141,55,13,2,44400.0,0.0
142,55,27,1,5496.0,0.0
143,56,9,2,12417.0,0.0
144,56,11,3,21181.0,0.0
145,56,4,1,9276.0,0.0
146,57,14,2,21416.0,0.0
147,57,2,3,8376.0,0.0
148,57,7,2,41148.0,0.0
149,57,17,3,1855.0,0.0
150,58,25,3,16800.0,0.0
151,58,2,1,8376.0,0.0
152,58,7,2,41148.0,0.0
153,58,9,2,12417.0,0.0
154,59,4,1,9276.0,0.0
155,59,1,3,15310.0,0.0
156,59,21,1,40938.0,0.0
157,59,20,2,5170.0,0.0
158,60,18,2,4805.0,0.0
159,61,8,1,2040.0,0.0
160,62,4,2,9276.0,0.0
161,62,21,3,40938.0,0.0
162,62,27,2,5496.0,0.0
163,62,5,3,20161.0,0.0
164,63,14,2,21416.0,0.0
165,63,27,1,5496.0,0.0
166,63,16,2,32380.0,0.0
167,64,13,3,44400.0,0.0
168,64,7,3,41148.0,0.0
169,65,28,2,6972.0,0.0
170,65,3,2,1523.0,0.0
171,66,30,2,3287.0,0.0
172,66,26,1,2567.0,0.0
173,66,17,2,1855.0,0.0
174,67,27,2,5496.0,0.0
175,67,19,1,12490.0,0.0
176,67,22,2,5988.0,0.0
177,68,12,3,796.0,0.0
178,68,11,2,21181.0,0.0
179,68,18,2,4805.0,0.0
180,68,25,2,16800.0,0.0
181,69,23,3,3059.0,0.0
182,69,8,2,2040.0,0.0
183,70,28,2,6972.0,0.0
184,70,25,1,16800.0,0.0
185,71,24,2,6663.0,0.0
186,71,16,2,32380.0,0.0
187,71,23,3,3059.0,0.0
188,72,16,1,32380.0,0.0
189,72,2,3,8376.0,0.0
190,73,28,1,6972.0,0.0
191,73,4,3,9276.0,0.0
192,73,15,2,39826.0,0.0
193,74,24,1,6663.0,0.0
194,75,28,2,6972.0,0.0
195,75,21,2,40938.0,0.0
196,75,5,2,20161.0,0.0
197,75,3,3,1523.0,0.0
198,76,21,3,40938.0,0.0
199,76,3,3,1523.0,0.0
200,76,28,2,6972.0,0.0
201,76,11,2,21181.0,0.0
202,77,28,1,6972.0,0.0
203,77,18,1,4805.0,0.0
204,77,2,3,8376.0,0.0
205,77,20,3,5170.0,0.0
206,78,8,2,2040.0,0.0
207,78,24,1,6663.0,0.0
208,78,3,3,1523.0,0.0
209,79,15,1,39826.0,0.0
210,80,29,2,10361.0,0.0
211,80,1,1,15310.0,0.0
212,80,2,2,8376.0,0.0
